VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-06-08T14:46:48.000,2022-06-08T15:07:35.000,1.0,1.9,1.0,N,141,161,1,13.0,2.5,0.5,4.1,0.0,0.3,20.4,2.5,0.0
6,2022-10-27T10:10:33.000,2022-10-27T10:10:50.000,,3.51,,,265,9,0,35.2,0.0,0.5,0.0,0.0,0.3,36.0,,
2,2022-10-16T22:18:48.000,2022-10-16T22:26:49.000,1.0,1.99,1.0,N,170,4,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0
2,2022-05-11T15:47:49.000,2022-05-11T15:57:27.000,1.0,1.51,1.0,N,107,79,1,8.0,0.0,0.5,1.7,0.0,0.3,13.0,2.5,0.0
1,2022-01-24T14:48:18.000,2022-01-24T14:56:09.000,1.0,1.6,1.0,N,161,143,1,7.5,2.5,0.5,2.15,0.0,0.3,12.95,2.5,0.0
2,2022-02-19T19:38:35.000,2022-02-19T19:42:58.000,1.0,0.46,1.0,N,238,238,1,4.5,0.0,0.5,1.95,0.0,0.3,9.75,2.5,0.0
1,2022-01-19T10:17:43.000,2022-01-19T10:24:08.000,1.0,0.6,1.0,N,234,170,1,5.5,2.5,0.5,1.75,0.0,0.3,10.55,2.5,0.0
1,2022-10-19T05:33:50.000,2022-10-19T05:38:46.000,1.0,0.0,1.0,N,47,78,1,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0,0.0
2,2022-02-02T17:23:15.000,2022-02-02T17:45:31.000,1.0,1.54,1.0,N,107,211,1,14.5,1.0,0.5,3.76,0.0,0.3,22.56,2.5,0.0
2,2022-10-24T15:47:01.000,2022-10-24T15:57:31.000,1.0,3.26,1.0,N,138,260,1,12.0,0.0,0.5,2.56,0.0,0.3,16.61,0.0,1.25
1,2022-01-18T10:53:42.000,2022-01-18T10:56:42.000,1.0,0.6,1.0,N,137,233,1,4.0,2.5,0.5,1.45,0.0,0.3,8.75,2.5,0.0
1,2022-02-17T00:11:43.000,2022-02-17T00:29:10.000,1.0,4.4,1.0,N,158,141,1,16.0,3.0,0.5,2.97,0.0,0.3,22.77,2.5,0.0
1,2022-05-17T23:51:01.000,2022-05-18T00:03:31.000,1.0,2.0,1.0,N,211,232,1,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5,0.0
1,2022-05-12T19:25:35.000,2022-05-12T19:35:10.000,2.0,1.7,1.0,N,236,238,1,8.5,3.5,0.5,2.56,0.0,0.3,15.36,2.5,0.0
2,2022-03-30T19:09:08.000,2022-03-30T19:22:30.000,1.0,3.02,1.0,N,230,75,1,11.5,1.0,0.5,1.0,0.0,0.3,16.8,2.5,0.0
2,2022-06-10T10:49:35.000,2022-06-10T11:00:10.000,1.0,1.69,1.0,N,239,75,1,8.5,0.0,0.5,3.54,0.0,0.3,15.34,2.5,0.0
1,2022-11-07T09:13:35.000,2022-11-07T09:18:34.000,1.0,0.6,1.0,N,237,162,2,5.0,2.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
1,2022-07-10T14:16:52.000,2022-07-10T14:21:09.000,1.0,0.7,1.0,N,263,236,2,5.0,2.5,0.5,0.0,0.0,0.3,8.3,2.5,0.0
2,2022-09-29T18:17:57.000,2022-09-29T19:19:54.000,2.0,18.28,2.0,N,132,48,1,52.0,4.5,0.5,10.0,6.55,0.3,77.6,2.5,1.25
2,2022-08-29T21:17:14.000,2022-08-29T21:26:23.000,1.0,3.53,1.0,N,132,132,2,12.5,0.5,0.5,0.0,0.0,0.3,15.05,0.0,1.25
2,2022-08-09T19:45:00.000,2022-08-09T19:53:42.000,2.0,1.81,1.0,N,236,162,1,8.5,1.0,0.5,1.0,0.0,0.3,13.8,2.5,0.0
1,2022-08-12T10:20:41.000,2022-08-12T10:33:02.000,1.0,2.2,1.0,N,161,79,1,10.5,2.5,0.5,2.75,0.0,0.3,16.55,2.5,0.0
1,2022-01-31T13:34:44.000,2022-01-31T13:41:55.000,1.0,1.6,1.0,N,79,233,1,7.5,2.5,0.5,2.16,0.0,0.3,12.96,2.5,0.0
2,2022-01-06T13:48:59.000,2022-01-06T13:59:17.000,1.0,1.76,1.0,N,163,236,1,8.5,0.0,0.5,3.54,0.0,0.3,15.34,2.5,0.0
